analysis,gene_type,cell_type,value
Logistic Regression,Basophil Prog Genes,Mastocyte,0.5
Logistic Regression,Basophil Prog Genes,Mastocyte,0.13
Logistic Regression,Basophil Prog Genes,Mastocyte,0.64
Logistic Regression,Basophil Prog Genes,Mastocyte,0.6
Logistic Regression,Basophil Prog Genes,Mastocyte,0.33
Logistic Regression,Basophil Prog Genes,Mastocyte,0.35
Logistic Regression,Basophil Prog Genes,Mastocyte,0.29
Logistic Regression,Basophil Prog Genes,Mastocyte,0.22
Logistic Regression,Basophil Prog Genes,Mastocyte,0.74
Logistic Regression,Basophil Prog Genes,Mastocyte,0.52
Logistic Regression,Basophil Prog Genes,Mastocyte,0.36
Logistic Regression,Basophil Prog Genes,Mastocyte,0.0
Logistic Regression,Basophil Prog Genes,Mastocyte,0.62
Logistic Regression,Basophil Prog Genes,Mastocyte,0.46
Logistic Regression,Basophil Prog Genes,Mastocyte,0.55
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.82
Logistic Regression,Basophil Prog Genes,Mastocyte,0.31
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.43
Logistic Regression,Basophil Prog Genes,Mastocyte,0.63
Logistic Regression,Basophil Prog Genes,Mastocyte,0.46
Logistic Regression,Basophil Prog Genes,Mastocyte,0.25
Logistic Regression,Basophil Prog Genes,Mastocyte,0.71
Logistic Regression,Basophil Prog Genes,Mastocyte,0.44
Logistic Regression,Basophil Prog Genes,Mastocyte,0.57
Logistic Regression,Basophil Prog Genes,Mastocyte,0.57
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.63
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.62
Logistic Regression,Basophil Prog Genes,Mastocyte,0.25
Logistic Regression,Basophil Prog Genes,Mastocyte,0.43
Logistic Regression,Basophil Prog Genes,Mastocyte,0.31
Logistic Regression,Basophil Prog Genes,Mastocyte,0.22
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.67
Logistic Regression,Basophil Prog Genes,Mastocyte,0.53
Logistic Regression,Basophil Prog Genes,Mastocyte,0.27
Logistic Regression,Basophil Prog Genes,Mastocyte,0.62
Logistic Regression,Basophil Prog Genes,Mastocyte,0.53
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.77
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.8
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.72
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.79
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.64
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.87
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.69
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.86
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.85
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.88
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.83
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.76
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.85
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.57
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.85
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.71
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.67
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.71
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.67
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.82
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.7
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.78
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.73
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.74
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.81
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.76
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.76
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.83
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.81
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.82
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.84
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.79
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.82
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.56
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.7
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.73
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.83
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.71
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.77
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.77
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.91
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.75
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.77
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.71
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.82
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.77
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.7
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.75
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.76
Logistic Regression,Basophil Prog Genes,Megakaryocyte,0.85
Logistic Regression,Basophil Prog Genes,Monocyte,0.68
Logistic Regression,Basophil Prog Genes,Monocyte,0.68
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.72
Logistic Regression,Basophil Prog Genes,Monocyte,0.77
Logistic Regression,Basophil Prog Genes,Monocyte,0.64
Logistic Regression,Basophil Prog Genes,Monocyte,0.76
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.71
Logistic Regression,Basophil Prog Genes,Monocyte,0.67
Logistic Regression,Basophil Prog Genes,Monocyte,0.72
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.77
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.76
Logistic Regression,Basophil Prog Genes,Monocyte,0.66
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.64
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.75
Logistic Regression,Basophil Prog Genes,Monocyte,0.76
Logistic Regression,Basophil Prog Genes,Monocyte,0.78
Logistic Regression,Basophil Prog Genes,Monocyte,0.75
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.72
Logistic Regression,Basophil Prog Genes,Monocyte,0.78
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.74
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.76
Logistic Regression,Basophil Prog Genes,Monocyte,0.7
Logistic Regression,Basophil Prog Genes,Monocyte,0.7
Logistic Regression,Basophil Prog Genes,Monocyte,0.76
Logistic Regression,Basophil Prog Genes,Monocyte,0.73
Logistic Regression,Basophil Prog Genes,Monocyte,0.69
Logistic Regression,Basophil Prog Genes,Monocyte,0.7
Logistic Regression,Basophil Prog Genes,Monocyte,0.72
Logistic Regression,Basophil Prog Genes,Monocyte,0.71
Logistic Regression,Basophil Prog Genes,Monocyte,0.68
Logistic Regression,Basophil Prog Genes,Monocyte,0.67
Logistic Regression,Basophil Prog Genes,Monocyte,0.7
Logistic Regression,Basophil Prog Genes,Monocyte,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.73
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.64
Logistic Regression,Basophil Prog Genes,Neutrophil,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.68
Logistic Regression,Basophil Prog Genes,Neutrophil,0.67
Logistic Regression,Basophil Prog Genes,Neutrophil,0.73
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,Basophil Prog Genes,Neutrophil,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.69
Logistic Regression,Basophil Prog Genes,Neutrophil,0.74
Logistic Regression,Basophil Prog Genes,Neutrophil,0.74
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,Basophil Prog Genes,Neutrophil,0.74
Logistic Regression,Basophil Prog Genes,Neutrophil,0.69
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,Basophil Prog Genes,Neutrophil,0.73
Logistic Regression,Basophil Prog Genes,Neutrophil,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.67
