WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000025777 23 22 9 0 0 0 0 0
ENSMUSG00000089534 0 0 0 0 0 0 0 0
ENSMUSG00000067780 2 7 0 0 0 0 0 0
ENSMUSG00000085125 72 87 0 25 5 4 0 0
ENSMUSG00000025776 801 1194 160 192 16 17 1 4
ENSMUSG00000025774 0 0 0 0 0 0 0 0
ENSMUSG00000070977 0 0 0 0 0 0 0 0
ENSMUSG00000073735 0 0 0 0 0 0 0 0
ENSMUSG00000067773 0 0 0 0 0 0 0 0
ENSMUSG00000089923 0 0 0 0 0 0 0 0
ENSMUSG00000088800 0 0 0 0 0 0 0 0
ENSMUSG00000089787 0 0 0 0 0 0 0 0
ENSMUSG00000042596 0 0 0 0 0 0 0 0
ENSMUSG00000060128 26 28 61 19 0 1 1 0
ENSMUSG00000025927 0 0 0 0 0 0 0 0
ENSMUSG00000084668 0 0 0 0 0 0 0 0
ENSMUSG00000080585 0 0 0 0 0 0 0 0
ENSMUSG00000043760 42 55 44 37 2 1 3 4
ENSMUSG00000089914 0 0 0 0 0 0 0 0
ENSMUSG00000090142 0 0 0 0 0 0 0 0
ENSMUSG00000070175 0 0 0 0 0 0 0 0
ENSMUSG00000065559 0 0 0 0 0 0 0 0
ENSMUSG00000065480 0 0 0 0 0 0 0 0
ENSMUSG00000025929 0 0 0 0 0 0 0 0
ENSMUSG00000041872 9 4 4 3 0 0 0 0
ENSMUSG00000041859 18308 16540 17097 13242 281 305 360 340
ENSMUSG00000088858 0 0 0 0 0 0 0 0
ENSMUSG00000087078 8 13 0 2 2 0 0 1
ENSMUSG00000025931 1196 1545 519 894 37 36 14 24
ENSMUSG00000077314 0 1 0 0 0 0 0 1
ENSMUSG00000041809 33 45 30 50 2 5 0 3
ENSMUSG00000041779 1260 2440 1255 1974 38 62 44 58
ENSMUSG00000025933 136 186 99 157 2 4 0 2
ENSMUSG00000025934 114 114 127 109 3 5 8 3
ENSMUSG00000046847 11 1 1 0 0 1 0 0
ENSMUSG00000025936 13 2 4 0 0 0 0 0
ENSMUSG00000067750 0 0 0 0 0 0 0 0
ENSMUSG00000086194 0 0 0 0 0 0 0 0
ENSMUSG00000087453 0 0 0 0 0 0 0 0
ENSMUSG00000041722 0 0 0 0 0 0 0 0
ENSMUSG00000085507 0 3 0 0 0 0 0 0
ENSMUSG00000087427 0 0 0 0 0 0 0 0
