WT1_mRNA WT2_mRNA Mut1_mRNA Mut2_mRNA WT1_total_RNA WT2_total_RNA Mut1_total_RNA Mut2_total_RNA
ENSMUSG00000037572 4267 4125 4048 3841 69 73 77 84
ENSMUSG00000084648 0 9 8 8 0 0 1 0
ENSMUSG00000048379 2893 3424 2813 3179 59 59 58 79
ENSMUSG00000021840 4798 4883 4523 4476 137 127 110 131
ENSMUSG00000050335 695 631 949 835 70 33 34 37
ENSMUSG00000037544 2168 2192 2568 2478 28 47 36 74
ENSMUSG00000037536 1764 1820 1485 1502 44 31 46 34
ENSMUSG00000037526 1043 1088 883 936 20 14 18 29
ENSMUSG00000072585 0 0 0 0 0 0 0 0
ENSMUSG00000021843 3409 4114 2396 3340 73 70 39 76
ENSMUSG00000062081 1369 1305 1348 1251 49 30 26 32
ENSMUSG00000021846 1318 1363 1050 1242 35 29 28 29
ENSMUSG00000063885 16 7 13 1 1 3 0 1
ENSMUSG00000080522 0 0 0 0 0 0 0 0
ENSMUSG00000036339 1751 1912 1856 2092 44 57 35 75
ENSMUSG00000087756 0 0 0 0 0 0 0 0
ENSMUSG00000021848 0 0 0 0 0 0 0 0
ENSMUSG00000093204 0 0 0 0 0 0 0 0
ENSMUSG00000093117 0 0 0 0 0 0 0 0
ENSMUSG00000087754 0 0 0 0 0 0 0 0
ENSMUSG00000061244 1824 2260 1905 2442 30 41 50 65
ENSMUSG00000036291 842 1034 889 1083 10 23 16 24
ENSMUSG00000036282 2288 2438 1984 2213 66 77 58 60
ENSMUSG00000021850 0 5 10 0 0 0 1 1
ENSMUSG00000021852 0 0 0 0 0 0 0 0
ENSMUSG00000079246 0 0 0 0 0 0 0 0
ENSMUSG00000089416 0 0 0 0 0 0 0 0
ENSMUSG00000089187 0 0 0 0 0 0 0 0
ENSMUSG00000036242 11 40 0 0 0 0 0 0
ENSMUSG00000082967 0 0 1 0 0 0 0 0
ENSMUSG00000088938 0 0 0 0 0 0 0 0
ENSMUSG00000048933 0 0 0 0 0 0 0 0
ENSMUSG00000090343 0 0 0 0 0 0 0 0
ENSMUSG00000091220 0 0 0 0 0 0 0 0
ENSMUSG00000068437 0 0 0 0 0 0 0 0
ENSMUSG00000060523 0 0 0 0 0 0 0 0
ENSMUSG00000059488 0 0 0 0 0 0 0 0
ENSMUSG00000050030 0 0 0 0 0 0 0 0
ENSMUSG00000049011 0 0 0 0 0 0 0 0
ENSMUSG00000050431 0 0 0 0 0 0 0 0
ENSMUSG00000048080 0 0 0 0 0 0 0 0
ENSMUSG00000091873 0 0 0 0 0 0 0 0
ENSMUSG00000090874 0 0 0 0 0 0 0 0
ENSMUSG00000045306 0 0 0 0 0 0 0 0
ENSMUSG00000046210 0 0 0 0 0 0 0 0
ENSMUSG00000051969 13 0 3 0 0 0 0 0
ENSMUSG00000047716 0 0 0 0 0 0 0 0
ENSMUSG00000049601 0 0 0 0 0 0 0 0
ENSMUSG00000057903 0 0 0 0 0 0 0 0
ENSMUSG00000068433 0 0 0 0 0 0 0 0
ENSMUSG00000060108 0 0 0 0 0 0 0 0
ENSMUSG00000068431 0 0 0 0 0 0 0 0
ENSMUSG00000062237 0 0 0 0 0 0 0 0
ENSMUSG00000053815 0 0 0 0 0 0 0 0
ENSMUSG00000050028 0 0 0 0 0 0 0 0
ENSMUSG00000058188 0 0 0 0 0 0 0 0
ENSMUSG00000057179 0 0 0 0 0 0 0 0
ENSMUSG00000060084 0 0 0 0 0 0 0 0
ENSMUSG00000064975 0 0 0 0 0 0 0 0
ENSMUSG00000059069 0 0 0 0 0 0 0 0
ENSMUSG00000006288 1500 1457 1302 1526 26 27 24 35
ENSMUSG00000078125 29 29 16 51 0 1 0 3
ENSMUSG00000071470 0 0 0 0 0 0 0 0
ENSMUSG00000092837 441 661 352 545 10316 10031 11149 11963
ENSMUSG00000036023 2510 2124 2185 2141 34 26 33 48
ENSMUSG00000006281 2145 2802 2213 2760 75 72 59 95
ENSMUSG00000087471 425 458 340 525 5 7 3 12
ENSMUSG00000090799 0 0 0 0 0 0 0 0
ENSMUSG00000091089 0 0 0 0 0 0 0 0
ENSMUSG00000006289 2148 2174 1780 1547 33 36 34 39
ENSMUSG00000088385 0 0 0 0 0 0 0 0
ENSMUSG00000035960 2825 2018 1987 1544 39 25 36 34
ENSMUSG00000035953 1509 1811 1660 2004 50 38 37 47
ENSMUSG00000021871 4374 3734 3590 2585 62 47 44 65
ENSMUSG00000068417 142 83 60 42 4 2 0 1
ENSMUSG00000021872 0 5 9 3 0 0 0 0
ENSMUSG00000052382 0 0 0 0 0 0 0 0
ENSMUSG00000059648 0 0 0 0 0 0 0 0
ENSMUSG00000068407 30 32 37 28 1 3 4 0
ENSMUSG00000035932 0 0 5 0 0 0 0 0
ENSMUSG00000021876 123 88 49 131 3 0 3 3
ENSMUSG00000072115 40 45 0 18 0 2 0 0
ENSMUSG00000072575 0 0 0 0 0 0 0 0
ENSMUSG00000021880 965 958 364 583 13 12 5 14
ENSMUSG00000035896 0 0 0 0 0 0 0 0
ENSMUSG00000059606 0 0 11 16 0 0 0 0
ENSMUSG00000047894 0 0 0 0 0 0 0 0
ENSMUSG00000050766 0 0 0 0 0 0 0 0
ENSMUSG00000047222 0 0 0 0 0 0 0 0
ENSMUSG00000091980 0 0 0 0 0 0 0 0
ENSMUSG00000090228 0 0 0 0 0 0 0 0
ENSMUSG00000068399 0 0 0 0 0 0 0 0
ENSMUSG00000089660 0 0 0 0 0 0 0 0
ENSMUSG00000000606 0 0 0 0 0 0 0 0
ENSMUSG00000089761 0 0 0 0 0 0 0 0
ENSMUSG00000070448 0 0 0 0 0 0 0 0
ENSMUSG00000079244 0 0 0 0 0 0 0 0
ENSMUSG00000089836 0 0 0 0 0 0 0 0
ENSMUSG00000091142 0 0 0 0 0 0 0 0
ENSMUSG00000091036 0 0 0 0 0 0 0 0
ENSMUSG00000090382 0 0 0 0 0 0 0 0
ENSMUSG00000091296 0 0 0 0 0 0 0 0
ENSMUSG00000090603 0 0 0 0 0 0 0 0
ENSMUSG00000090740 0 0 0 0 0 0 0 0
ENSMUSG00000068506 0 0 0 0 0 0 0 0
ENSMUSG00000091189 0 0 0 0 0 0 0 0
ENSMUSG00000060615 0 0 0 0 0 0 0 0
ENSMUSG00000092107 0 0 0 0 0 0 0 0
ENSMUSG00000050961 0 0 0 0 0 0 0 0
ENSMUSG00000091293 2 13 0 1 0 0 0 0
ENSMUSG00000091812 0 0 0 0 0 0 0 0
ENSMUSG00000062148 297 276 53 79 3 6 2 1
ENSMUSG00000004561 1215 1221 802 1155 11 19 16 21
ENSMUSG00000072572 27 38 10 50 0 1 0 2
ENSMUSG00000004558 830 777 711 674 11 13 13 16
ENSMUSG00000008813 0 0 0 0 0 0 0 0
ENSMUSG00000068392 0 0 0 0 0 0 0 0
ENSMUSG00000004562 4091 4406 3683 5400 128 125 105 154
ENSMUSG00000085219 53 78 34 80 0 1 2 1
ENSMUSG00000049295 5218 5567 5170 6293 109 121 104 134
ENSMUSG00000072571 110 188 83 172 4 4 7 12
ENSMUSG00000044286 0 0 0 0 0 0 0 0
ENSMUSG00000065853 8 2 12 0 1 1 0 0
ENSMUSG00000060373 11689 9071 10484 8540 157 175 156 208
ENSMUSG00000057132 330 443 179 119 6 10 3 8
ENSMUSG00000093586 0 6 0 0 1 0 0 0
ENSMUSG00000035726 10456 10917 8822 8814 229 217 214 269
ENSMUSG00000085736 27 31 9 20 0 1 3 0
ENSMUSG00000053754 7686 9584 7206 9855 224 224 202 271
ENSMUSG00000093044 5 21 0 10 4 2 6 1
ENSMUSG00000022159 763 882 782 870 6 15 16 19
ENSMUSG00000088979 0 0 0 0 0 0 0 0
ENSMUSG00000016831 3250 3140 3572 3322 53 72 68 91
ENSMUSG00000022160 1935 1925 1755 1796 35 44 39 34
ENSMUSG00000049532 1208 1447 593 723 39 34 20 23
ENSMUSG00000064755 0 0 0 0 0 0 0 0
ENSMUSG00000068385 0 0 0 0 0 0 0 0
ENSMUSG00000060640 0 0 0 0 0 0 0 0
ENSMUSG00000063867 0 0 0 0 0 0 0 0
ENSMUSG00000063106 0 0 0 0 0 0 0 0
ENSMUSG00000076758 0 0 0 0 0 0 0 0
ENSMUSG00000035626 0 12 2 33 0 0 0 0
ENSMUSG00000057564 0 0 0 0 0 0 0 0
ENSMUSG00000059887 0 0 0 0 0 0 0 0
ENSMUSG00000076759 2 3 0 0 0 1 0 0
ENSMUSG00000076760 0 0 0 0 0 0 0 0
ENSMUSG00000076761 0 0 0 0 0 0 0 0
ENSMUSG00000076762 0 0 0 0 0 0 0 0
ENSMUSG00000076764 0 0 0 0 0 0 0 0
ENSMUSG00000082819 0 0 0 0 0 0 0 0
ENSMUSG00000076829 0 0 0 0 0 0 0 0
ENSMUSG00000076767 0 0 0 0 0 0 0 0
ENSMUSG00000076768 0 0 0 0 0 0 0 0
ENSMUSG00000076769 0 0 0 0 0 0 0 0
ENSMUSG00000076770 5 0 0 0 0 0 0 0
ENSMUSG00000076771 0 0 0 0 0 0 0 0
ENSMUSG00000076772 0 0 0 0 0 0 0 0
ENSMUSG00000076773 0 0 0 0 0 0 0 0
ENSMUSG00000076774 0 0 0 0 0 0 0 0
ENSMUSG00000076775 0 0 0 0 0 0 0 0
ENSMUSG00000076776 0 0 0 0 0 0 0 0
ENSMUSG00000076777 0 0 0 0 0 0 0 0
ENSMUSG00000076778 0 0 0 0 0 0 0 0
ENSMUSG00000076779 0 0 0 0 0 0 0 0
ENSMUSG00000072551 39 18 34 16 2 4 3 1
ENSMUSG00000076780 0 0 0 0 0 0 0 0
ENSMUSG00000076781 0 0 0 0 0 0 0 0
ENSMUSG00000076782 0 0 0 0 0 0 0 0
ENSMUSG00000072548 0 5 1 0 0 0 0 0
ENSMUSG00000076783 0 0 0 0 0 0 0 0
ENSMUSG00000076784 0 0 0 0 0 0 0 0
ENSMUSG00000090450 0 0 0 0 0 0 0 0
ENSMUSG00000076785 0 0 0 0 0 0 0 0
ENSMUSG00000076786 0 0 0 0 0 0 0 0
ENSMUSG00000076787 0 0 0 0 0 0 0 0
ENSMUSG00000076788 0 0 0 0 0 0 0 0
ENSMUSG00000076789 0 0 0 0 0 0 0 0
ENSMUSG00000090868 0 0 0 0 0 0 0 0
ENSMUSG00000076790 0 0 0 0 0 0 0 0
ENSMUSG00000076791 0 0 0 0 0 0 0 0
ENSMUSG00000076792 0 0 0 0 0 0 0 0
ENSMUSG00000076793 0 0 0 0 0 0 0 0
ENSMUSG00000076795 0 0 0 0 0 0 0 0
ENSMUSG00000076796 0 0 0 0 0 0 0 0
ENSMUSG00000076797 0 3 0 0 0 0 0 0
ENSMUSG00000076798 0 0 0 0 0 0 0 0
ENSMUSG00000076799 0 0 0 0 0 0 0 0
ENSMUSG00000092251 0 0 0 0 0 0 0 0
ENSMUSG00000079237 0 0 0 0 0 0 0 0
ENSMUSG00000076800 0 0 0 0 0 0 0 0
ENSMUSG00000076801 0 0 0 0 0 0 0 0
ENSMUSG00000076802 0 0 0 0 0 0 0 0
ENSMUSG00000079098 0 0 0 0 0 0 0 0
ENSMUSG00000076804 0 0 0 0 0 0 0 0
ENSMUSG00000072531 0 0 0 0 0 0 0 0
ENSMUSG00000076805 0 0 0 0 0 0 0 0
ENSMUSG00000076806 0 0 0 0 0 0 0 0
ENSMUSG00000076807 0 0 0 0 0 0 0 0
ENSMUSG00000071476 0 3 0 0 0 0 0 0
ENSMUSG00000076808 0 0 0 0 0 0 0 0
ENSMUSG00000076809 0 0 0 0 0 0 0 0
ENSMUSG00000091180 0 0 0 0 0 0 0 0
ENSMUSG00000076810 0 0 0 0 0 0 0 0
ENSMUSG00000076811 0 0 0 0 0 0 0 0
ENSMUSG00000076812 0 0 0 0 0 0 0 0
ENSMUSG00000076813 0 0 0 0 0 0 0 0
ENSMUSG00000076814 0 0 0 0 0 0 0 0
ENSMUSG00000076815 0 0 0 0 0 0 0 0
ENSMUSG00000076816 0 0 0 0 0 0 0 0
ENSMUSG00000076817 0 0 0 0 0 0 0 0
ENSMUSG00000076818 0 0 0 0 0 0 0 0
ENSMUSG00000076819 0 0 0 0 0 0 0 0
ENSMUSG00000076821 0 0 0 0 0 0 0 0
ENSMUSG00000076822 0 0 0 0 0 0 0 1
ENSMUSG00000076823 3 0 36 25 0 0 0 1
ENSMUSG00000076824 4 7 8 14 0 0 0 0
ENSMUSG00000076825 0 0 0 0 0 0 0 0
ENSMUSG00000076826 0 0 0 0 0 0 0 0
ENSMUSG00000076827 5 2 0 0 0 0 0 0
ENSMUSG00000076828 0 0 0 0 0 0 0 0
ENSMUSG00000076766 0 0 0 0 0 0 0 0
ENSMUSG00000076830 0 0 0 0 0 0 0 0
ENSMUSG00000076831 0 0 0 0 0 0 0 0
ENSMUSG00000076832 0 0 0 0 0 0 0 0
ENSMUSG00000076833 0 0 0 0 0 0 0 0
ENSMUSG00000076834 0 0 0 0 0 0 0 0
ENSMUSG00000076835 0 0 0 0 0 0 0 0
ENSMUSG00000076836 0 0 0 0 0 0 0 0
ENSMUSG00000076838 0 0 0 0 0 0 0 0
ENSMUSG00000076839 0 0 0 2 0 0 0 0
ENSMUSG00000076840 0 0 0 0 0 0 0 0
ENSMUSG00000076841 0 0 0 0 0 0 0 0
ENSMUSG00000076842 0 0 0 0 0 0 0 0
ENSMUSG00000076843 0 0 0 0 0 0 0 0
ENSMUSG00000076844 0 0 0 0 0 0 0 0
ENSMUSG00000076845 0 0 0 0 0 0 0 0
ENSMUSG00000076846 0 0 0 0 0 0 0 0
ENSMUSG00000076847 0 0 0 0 0 0 0 0
ENSMUSG00000076848 0 0 0 0 0 0 0 0
ENSMUSG00000076849 0 0 0 0 0 0 0 0
ENSMUSG00000076850 0 0 0 0 0 0 0 0
ENSMUSG00000076851 15 0 0 0 0 0 1 1
ENSMUSG00000076852 0 0 0 0 0 0 0 0
ENSMUSG00000076853 0 0 0 0 0 0 0 0
ENSMUSG00000076854 0 0 0 0 0 0 0 0
ENSMUSG00000082663 0 0 0 0 0 0 0 0
ENSMUSG00000085302 0 0 0 0 0 0 0 0
ENSMUSG00000076855 0 0 0 9 0 0 0 0
ENSMUSG00000076856 3 1 1 19 0 0 0 0
ENSMUSG00000076857 0 0 0 0 1 0 0 0
ENSMUSG00000076858 0 0 0 0 0 0 0 0
ENSMUSG00000087666 43 48 18 35 0 0 0 3
ENSMUSG00000076860 2 0 0 0 0 0 0 0
ENSMUSG00000076861 0 4 0 2 0 0 0 0
ENSMUSG00000076862 0 0 0 0 0 0 0 0
ENSMUSG00000086858 0 0 0 0 0 0 0 0
ENSMUSG00000076863 0 0 0 0 0 0 0 0
ENSMUSG00000076864 0 0 0 0 0 0 0 0
ENSMUSG00000076865 0 0 0 0 0 0 0 0
ENSMUSG00000076866 2 0 0 0 0 0 0 1
ENSMUSG00000076867 6 5 0 19 0 0 0 1
ENSMUSG00000076868 0 0 0 0 0 0 0 0
ENSMUSG00000089469 0 0 0 0 0 0 0 0
ENSMUSG00000076869 0 0 0 0 0 0 0 0
ENSMUSG00000076870 1 0 0 0 1 0 0 0
ENSMUSG00000076871 0 0 0 0 0 0 0 0
ENSMUSG00000076873 0 0 0 0 0 0 0 0
ENSMUSG00000090574 7 0 0 0 0 0 0 0
ENSMUSG00000090782 0 0 0 0 0 0 0 0
ENSMUSG00000076874 0 0 0 0 0 0 0 0
ENSMUSG00000076875 0 0 0 0 0 0 0 0
ENSMUSG00000076876 0 0 0 0 0 0 0 0
ENSMUSG00000076877 0 0 0 0 0 0 0 0
ENSMUSG00000091005 0 0 0 0 0 0 0 0
ENSMUSG00000091326 0 0 0 0 0 0 0 0
ENSMUSG00000076878 0 0 0 0 0 0 0 0
ENSMUSG00000076879 0 0 0 0 0 0 0 0
ENSMUSG00000076880 0 0 0 0 0 0 0 0
ENSMUSG00000076881 0 0 0 0 0 0 0 0
ENSMUSG00000076882 0 0 0 0 0 0 0 0
ENSMUSG00000076883 0 0 0 0 0 0 0 0
ENSMUSG00000076884 0 0 0 0 0 0 0 0
ENSMUSG00000076885 0 0 0 0 0 0 0 0
ENSMUSG00000076886 0 0 0 0 0 0 0 0
ENSMUSG00000076887 0 0 0 0 0 0 0 0
ENSMUSG00000076888 0 0 0 0 0 0 0 0
ENSMUSG00000076889 0 0 0 0 0 0 0 0
ENSMUSG00000076890 0 0 0 0 0 0 0 0
ENSMUSG00000076891 0 0 0 0 0 0 0 0
ENSMUSG00000076892 0 0 0 0 0 0 0 0
ENSMUSG00000076893 0 0 0 0 0 0 0 0
ENSMUSG00000090494 0 0 0 0 0 0 0 0
ENSMUSG00000076894 0 0 0 0 0 0 0 0
ENSMUSG00000076895 0 0 0 0 0 0 0 0
ENSMUSG00000076896 0 0 0 0 0 0 0 0
ENSMUSG00000076897 0 0 0 0 0 0 0 0
ENSMUSG00000076898 0 0 0 0 0 0 0 0
ENSMUSG00000076899 0 0 0 0 0 0 0 0
ENSMUSG00000076900 0 0 0 0 0 0 0 0
ENSMUSG00000076901 0 0 0 0 0 0 0 0
ENSMUSG00000076902 0 0 0 0 0 0 0 0
ENSMUSG00000076903 0 0 0 0 0 0 0 0
ENSMUSG00000076904 0 0 0 0 0 0 0 0
ENSMUSG00000076905 0 0 0 0 0 0 0 0
ENSMUSG00000076906 0 0 0 0 0 0 0 0
ENSMUSG00000076907 0 0 0 0 0 0 0 0
ENSMUSG00000076908 0 0 0 0 0 0 0 0
ENSMUSG00000076909 0 0 0 0 0 0 0 0
ENSMUSG00000076910 0 0 0 0 0 0 0 0
ENSMUSG00000076911 0 0 0 0 0 0 0 0
ENSMUSG00000076912 0 0 0 0 0 0 0 0
ENSMUSG00000076913 0 0 0 0 0 0 0 0
ENSMUSG00000076914 0 0 0 0 0 0 0 0
ENSMUSG00000076915 6 0 0 0 0 0 0 0
ENSMUSG00000076916 0 0 0 0 0 0 0 0
ENSMUSG00000076917 0 0 0 0 0 0 0 0
ENSMUSG00000076918 0 0 0 0 0 0 0 0
ENSMUSG00000076919 0 0 0 0 0 0 0 0
ENSMUSG00000076920 0 0 0 0 0 0 0 0
ENSMUSG00000076921 0 0 0 0 0 0 0 0
ENSMUSG00000076922 0 0 0 0 0 0 0 0
ENSMUSG00000076923 0 0 0 0 0 0 0 0
ENSMUSG00000076924 0 0 0 0 0 0 0 0
ENSMUSG00000076925 0 0 0 0 0 0 0 0
ENSMUSG00000076926 0 0 0 0 0 0 0 0
ENSMUSG00000076927 0 0 0 0 0 0 0 0
ENSMUSG00000076928 11 4 0 8 0 0 0 0
ENSMUSG00000022174 4365 3284 4018 2915 102 75 82 86
ENSMUSG00000040997 3968 3840 3606 4005 79 78 77 94
ENSMUSG00000048153 0 0 0 0 0 0 0 0
ENSMUSG00000000959 4190 4137 3638 3817 92 83 72 107
ENSMUSG00000000958 388 345 376 404 10 6 12 13
ENSMUSG00000010406 1547 1245 1378 913 34 21 24 30
ENSMUSG00000000957 1261 1192 1029 1125 57 43 46 54
ENSMUSG00000079234 0 0 0 0 0 0 0 0
ENSMUSG00000064973 0 0 0 0 0 0 0 0
ENSMUSG00000022175 7621 7522 6857 8186 223 214 165 221
ENSMUSG00000022176 13 23 6 47 1 1 0 0
ENSMUSG00000023110 5331 4459 4241 4426 87 80 72 91
ENSMUSG00000022177 3021 2839 2780 2465 56 56 30 50
ENSMUSG00000022178 673 785 773 903 73 23 25 37
ENSMUSG00000064742 0 0 0 0 0 0 0 0
ENSMUSG00000022179 813 657 524 607 17 16 10 19
ENSMUSG00000022193 2763 2057 2142 1648 42 36 39 36
ENSMUSG00000076128 0 0 0 0 0 0 0 0
ENSMUSG00000072423 0 5 0 0 0 0 0 0
ENSMUSG00000059674 388 451 266 288 5 11 1 7
ENSMUSG00000092443 0 1 4 5 0 0 0 0
ENSMUSG00000091306 21 19 8 11 0 1 0 0
ENSMUSG00000022185 19125 21981 18811 24212 389 383 407 600
ENSMUSG00000040840 262 469 296 619 10 7 13 24
ENSMUSG00000040822 1653 1453 1789 1524 23 34 30 40
ENSMUSG00000052435 259 202 444 515 3 4 11 10
ENSMUSG00000022180 1776 2060 7299 10757 39 42 155 279
ENSMUSG00000071425 0 0 0 0 1 0 0 0
ENSMUSG00000086420 0 1 2 0 0 0 0 0
ENSMUSG00000057156 940 793 707 805 16 16 14 23
ENSMUSG00000072494 304 302 210 341 4 9 14 7
ENSMUSG00000093691 0 0 0 0 0 0 0 0
ENSMUSG00000089682 1201 1407 1202 1708 15 18 42 40
ENSMUSG00000092232 4 0 4 0 0 0 0 0
ENSMUSG00000022194 3557 3906 3008 4303 72 74 45 94
ENSMUSG00000022199 1044 1688 347 830 18 29 6 15
ENSMUSG00000022203 10 25 3 3 0 1 0 0
ENSMUSG00000040770 0 0 0 0 0 0 0 0
ENSMUSG00000040759 0 0 0 0 0 0 0 0
ENSMUSG00000040752 0 0 0 5 0 0 0 1
ENSMUSG00000065432 0 0 0 0 0 0 0 0
ENSMUSG00000053093 0 0 0 0 0 0 0 0
ENSMUSG00000077928 0 0 0 0 0 0 0 0
ENSMUSG00000090889 0 0 0 0 0 0 0 0
ENSMUSG00000022204 1701 1604 1959 1768 39 30 24 36
ENSMUSG00000072492 1 0 0 0 0 0 0 0
ENSMUSG00000093452 14 6 5 15 0 0 2 1
ENSMUSG00000040721 1066 1601 1386 2373 53 60 78 98
ENSMUSG00000045691 1321 1213 1159 1088 30 21 26 41
ENSMUSG00000040701 2890 3028 2821 3776 78 78 60 80
ENSMUSG00000022208 18 25 9 12 0 2 0 1
ENSMUSG00000077492 0 0 0 0 0 0 0 0
ENSMUSG00000022209 0 0 0 0 0 0 0 0
ENSMUSG00000060680 604 412 635 434 7 4 9 7
ENSMUSG00000022210 2562 2397 1679 1395 38 46 39 38
ENSMUSG00000022211 359 461 138 113 2 8 6 4
ENSMUSG00000022212 0 0 0 0 0 0 0 0
ENSMUSG00000040632 0 0 0 0 0 0 0 0
ENSMUSG00000040618 7769 8425 9018 8701 162 171 150 230
ENSMUSG00000053588 0 0 0 0 1 0 0 0
ENSMUSG00000022214 3180 3052 2458 2821 57 69 45 64
ENSMUSG00000086341 21 14 2 24 0 0 0 0
ENSMUSG00000022215 20 6 0 6 1 0 0 0
ENSMUSG00000022216 8296 6548 7235 5535 138 112 130 119
ENSMUSG00000022217 305 355 193 174 9 5 8 5
ENSMUSG00000079197 282 188 277 254 2 1 1 5
ENSMUSG00000047098 2427 2606 2280 2566 81 66 61 77
ENSMUSG00000002325 3322 2977 3540 3151 67 50 49 76
ENSMUSG00000002324 1454 1365 151 495 9 15 3 3
ENSMUSG00000002319 4812 4579 3604 4086 119 109 73 102
ENSMUSG00000002320 3428 3300 3567 3195 64 63 60 62
ENSMUSG00000007591 49 92 51 98 1 1 8 4
ENSMUSG00000002329 1639 1474 1514 1497 24 20 24 36
ENSMUSG00000010376 3890 2691 3597 2741 52 62 60 65
ENSMUSG00000002326 1548 1689 1563 1355 11 20 21 38
ENSMUSG00000007589 1454 1692 1559 1580 19 46 35 38
ENSMUSG00000088402 0 0 0 0 0 0 0 0
ENSMUSG00000022218 555 534 916 1084 11 9 25 19
ENSMUSG00000040472 1686 1593 1433 1784 37 42 26 31
ENSMUSG00000002332 1639 1595 1445 1309 20 26 24 20
ENSMUSG00000019297 3277 2778 2913 2348 50 45 63 60
ENSMUSG00000022219 15 24 24 12 3 1 0 2
ENSMUSG00000040432 25 48 79 52 0 2 1 5
ENSMUSG00000046908 236 152 966 1091 4 3 15 30
ENSMUSG00000022220 50 51 28 53 2 2 2 7
ENSMUSG00000022221 3782 3844 4072 3701 33 51 67 77
ENSMUSG00000023411 32 80 35 79 2 0 0 1
ENSMUSG00000075592 1508 2237 1173 2296 62 56 55 85
ENSMUSG00000090992 0 0 0 0 0 0 0 0
ENSMUSG00000040380 33 35 11 66 3 1 0 3
ENSMUSG00000047153 3764 5154 4462 7274 113 134 139 182
ENSMUSG00000022223 2198 2149 2142 2297 35 44 38 56
ENSMUSG00000022225 194 24 0 0 2 0 0 0
ENSMUSG00000068289 0 0 0 0 0 0 0 0
ENSMUSG00000058581 704 468 629 528 7 6 12 6
ENSMUSG00000022227 0 0 0 0 0 0 0 0
ENSMUSG00000071361 0 0 0 0 0 0 0 0
ENSMUSG00000022226 9 9 0 0 0 0 0 0
ENSMUSG00000061068 47 0 0 0 0 0 0 0
ENSMUSG00000022157 738 666 81 60 4 6 0 1
ENSMUSG00000040314 4994 4103 6252 2825 85 59 95 69
ENSMUSG00000022156 0 0 11 0 0 0 1 0
ENSMUSG00000059256 0 0 0 0 0 0 0 0
ENSMUSG00000040284 0 0 0 0 0 0 0 0
ENSMUSG00000015443 0 0 0 0 0 0 0 0
ENSMUSG00000015441 0 0 0 0 0 0 0 0
ENSMUSG00000079186 0 0 0 0 0 0 0 0
ENSMUSG00000077160 0 0 0 0 0 0 0 0
ENSMUSG00000015437 173 86 8 0 4 0 0 0
ENSMUSG00000022229 0 0 0 0 0 0 0 0
ENSMUSG00000000365 116 110 128 84 3 3 0 3
ENSMUSG00000088761 0 0 0 0 0 0 0 0
ENSMUSG00000064128 694 943 661 981 13 9 13 25
ENSMUSG00000089170 4 4 0 0 0 0 0 0
ENSMUSG00000054509 2112 2438 2283 2655 61 51 57 68
ENSMUSG00000090038 3 8 7 8 2 2 2 0
ENSMUSG00000079184 1197 1519 1229 1380 24 20 21 46
ENSMUSG00000086985 503 513 415 490 6 6 12 17
ENSMUSG00000021938 2832 2656 2395 2234 57 55 82 58
ENSMUSG00000079489 22 5 41 19 2 4 1 5
ENSMUSG00000040123 1949 1931 1826 2328 32 31 31 50
ENSMUSG00000077685 13 9 10 8 0 0 0 0
ENSMUSG00000088180 0 0 0 0 0 0 0 0
ENSMUSG00000021945 2455 3083 2441 3356 71 59 67 100
ENSMUSG00000048582 0 0 0 0 0 0 0 0
ENSMUSG00000046352 26 2 4 4 0 0 0 0
ENSMUSG00000089840 0 0 0 0 0 0 0 0
ENSMUSG00000040055 0 0 0 0 0 0 0 0
ENSMUSG00000021947 1105 858 1226 841 25 26 23 28
ENSMUSG00000077497 0 0 0 0 0 0 0 2
ENSMUSG00000040040 598 595 488 424 14 18 7 12
ENSMUSG00000081238 2 9 0 3 2 1 0 0
ENSMUSG00000086486 6 5 0 21 0 4 4 1
ENSMUSG00000050222 31 27 23 7 1 2 0 0
ENSMUSG00000021951 486 316 409 271 6 10 6 10
ENSMUSG00000091883 0 0 0 0 0 0 0 0
ENSMUSG00000021952 1813 2000 1363 1567 40 43 38 57
ENSMUSG00000021959 1083 1307 1857 2133 35 43 43 66
ENSMUSG00000064525 0 0 0 9 0 0 0 0
ENSMUSG00000092358 8 9 3 10 0 1 0 0
ENSMUSG00000021963 1034 876 833 678 14 17 18 17
ENSMUSG00000092784 0 0 0 0 0 0 0 0
ENSMUSG00000021965 847 908 830 839 6 17 14 19
ENSMUSG00000021967 2286 1614 1949 1225 56 47 44 57
ENSMUSG00000065374 8 4 5 1 0 0 1 0
ENSMUSG00000021969 2557 3005 2995 3666 48 51 61 80
ENSMUSG00000021973 3209 2939 3168 2887 64 43 65 69
ENSMUSG00000091596 32 36 58 30 0 1 4 0
ENSMUSG00000021974 0 4 0 0 0 0 0 0
ENSMUSG00000091132 0 0 0 0 0 0 0 0
ENSMUSG00000077201 0 0 0 0 0 0 0 0
ENSMUSG00000093422 0 0 0 0 0 0 0 0
ENSMUSG00000059835 713 546 687 475 10 13 7 12
ENSMUSG00000021977 0 0 0 0 0 0 0 0
ENSMUSG00000053868 0 0 0 0 0 0 0 0
ENSMUSG00000035469 1490 1830 810 941 30 46 16 31
ENSMUSG00000090881 9 23 0 14 0 0 0 0
ENSMUSG00000044703 0 0 0 0 0 0 0 0
ENSMUSG00000091649 110 174 32 30 2 0 0 1
